,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65
16,X,False,1.6745,0.1672,0.21835,3.0554,1.8223,1.2221,3.3764,2.6865,0.35711,1.2024,5.9404,3.8301,3.5387,3.8804,6.9579,10.325,6.5677,14.939,15.173,4.3119,7.8357,3.2741,1.8834,5.4006,6.1689,1.5119,2.3438,8.7967,7.5905,24.892,6.7566,24.411,0.48822,19.572,15.137,3.9467,18.222,15.908,17.586,23.346,22.332,11.797,3.4311,20.176,11.71,8.9308,12.819,3.9928,19.451,25.797,1.0308,43.902,47.42,59.789,83.445,101.68,0.32533,47.662,77.962,121.88,86.332,104.96,135.33,229.71,173.59
17,X,False,232.47,189.32,254.52,239.4,254.84,258.24,250.96,229.34,215.96,237.73,126.94,209.78,189.72,155.13,80.459,152.18,152.97,122.23,52.436,45.524,131.11,15.824,90.016,135.35,140.19,179.09,140.77,149.9,134.7,143.33,131.61,138.68,142.3,149.89,162.98,157.1,128.37,132.8,158.02,144.84,158.21,157.16,136.83,140.34,123.89,141.05,134.51,145.95,165.01,168.62,174.35,167.85,167.42,159.89,169.15,162.04,157.56,177.02,158.99,135.18,122.1,137.97,138.72,140.68,141.58
18,X,False,422.15,442.4,522.0,480.06,462.69,487.05,483.14,537.68,531.85,514.13,458.2,499.19,484.99,531.28,502.7,429.82,555.37,671.23,627.89,542.71,647.25,691.07,732.58,675.02,720.28,682.62,695.22,710.6,665.4,782.2,733.13,771.31,822.42,776.11,839.19,822.52,801.09,782.82,799.85,811.05,845.13,859.95,869.51,877.16,872.8,883.5,881.84,924.76,912.69,920.23,938.75,728.15,923.98,912.56,923.22,903.39,905.92,719.34,851.53,695.16,713.49,713.03,706.56,708.11,722.44
19,X,False,968.66,23.432,926.41,121.04,916.09,890.41,836.74,918.83,180.94,85.408,840.23,820.95,797.1,810.57,773.69,816.56,811.72,763.09,855.81,890.52,883.61,10.992,847.84,884.95,969.24,891.08,939.37,953.95,891.24,864.85,908.83,908.85,969.35,949.88,972.18,825.8,929.86,1012.0,972.73,901.16,993.74,903.0,896.44,869.0,907.33,925.49,953.66,796.6,839.89,863.39,885.79,938.43,943.15,952.89,943.06,954.87,939.61,933.29,943.71,941.56,999.99,950.54,953.31,988.46,987.39
20,X,True,63.304,20.848,74.588,53.178,58.484,53.519,72.628,62.954,94.599,26.067,58.192,90.907,57.124,107.39,132.01,143.79,104.92,33.53,9.0714,19.216,15.633,75.047,82.559,132.15,114.16,154.49,196.71,241.01,214.0,199.42,220.95,222.01,246.18,215.57,187.76,94.234,83.308,134.24,149.63,126.18,38.692,50.753,11.753,10.235,88.727,96.813,127.19,98.211,141.64,105.99,186.22,187.72,233.53,157.21,175.28,256.26,247.23,103.46,124.39,97.562,39.342,117.73,41.462,3.0878,61.138
21,X,False,1567.2,1583.0,1522.5,1538.4,1557.9,1562.7,1551.7,1583.6,1618.3,1617.4,1647.8,1657.4,1612.1,1610.1,1650.5,1649.9,1670.8,1670.2,1659.0,1722.8,1683.8,1677.7,1734.7,1657.4,1730.5,1768.2,1750.4,1717.9,1802.9,1764.5,1772.7,1730.7,1668.6,1678.9,1717.0,1739.0,1724.6,1750.3,1746.6,1798.1,1774.9,1713.6,1694.8,1705.6,1773.1,1709.6,1710.9,1802.7,1820.6,1795.0,1880.2,1838.2,1955.8,1991.9,1914.8,1937.6,1868.6,1848.4,1865.1,1908.4,1813.0,1814.8,1860.8,1742.2,1704.9
22,X,True,1695.4,1678.9,1679.0,1669.8,1681.2,1682.8,1682.0,1694.7,1728.1,1723.6,1728.4,1682.6,1672.2,1660.5,1639.7,1637.4,1647.8,1648.9,1639.1,1671.6,1675.5,1687.0,1680.9,1648.3,1657.3,1668.2,1698.9,1681.6,1667.8,1683.5,1704.5,1729.0,1757.5,1777.0,1782.8,1793.5,1796.7,1796.4,1803.1,1791.3,1813.4,1827.6,1826.0,1833.7,1843.7,1808.5,1819.1,1813.2,1794.2,1801.1,1776.4,1781.4,1778.1,1755.1,1756.2,1731.9,1731.2,1689.3,1649.0,1597.8,1542.7,1539.6,1559.5,1567.9,1590.7
23,X,False,1.92,11.594,5.1193,9.0927,50.304,15.551,16.364,17.847,25.174,24.453,28.604,33.916,41.837,53.079,64.972,60.194,71.162,77.641,72.973,51.457,52.074,92.1,80.588,93.338,103.95,99.575,94.386,93.095,87.673,85.734,93.406,97.412,86.416,92.265,105.46,117.59,114.6,120.71,118.29,129.28,130.28,141.65,143.81,150.64,142.54,136.88,83.634,114.93,97.536,98.547,78.772,96.589,74.567,81.648,116.05,49.352,81.401,97.062,69.109,19.91,73.984,79.392,59.975,117.37,95.274
24,X,True,2681.1,2739.4,2677.5,2722.7,2735.9,2723.2,2760.2,2680.9,2685.7,2450.9,2686.5,2683.8,2746.7,2700.0,2742.3,2816.1,2762.5,2818.4,2890.8,2863.1,2888.1,2882.1,2896.4,2945.4,2902.4,2916.2,2910.3,2905.4,2983.8,2937.7,2962.4,3047.5,3000.4,2974.2,2992.9,3070.8,2787.4,3163.3,3210.9,3194.3,3248.4,3169.1,3216.0,3100.9,3249.0,3333.5,3532.3,3581.5,3614.0,3507.5,3503.5,3447.3,3477.7,3380.8,3472.6,3435.7,3525.6,3486.7,3452.4,3579.3,3563.9,3528.5,3617.9,3649.6,3680.5
25,X,True,2742.3,2816.1,2762.5,2818.4,2890.8,2863.1,2888.1,2882.1,2896.4,2945.4,2902.4,2916.2,2910.3,2905.4,2983.8,2937.7,2962.4,3047.5,3000.4,2974.2,2992.9,3070.8,2787.4,3163.3,3210.9,3194.3,3248.4,3169.1,3216.0,3100.9,3249.0,3333.5,3532.3,3581.5,3614.0,3507.5,3503.5,3447.3,3477.7,3380.8,3472.6,3435.7,3525.6,3486.7,3452.4,3579.3,3563.9,3528.5,3617.9,3649.6,3680.5,3676.0,3596.2,3611.3,3641.4,3660.3,3662.6,3676.7,3614.2,3575.6,3602.2,3639.5,3672.8,3683.5,3756.8
