,FLARE_TYPE,COINCIDENCE,LABEL,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
0,X,False,1,781.676,945.6479999999999,59.6958,77.7204,107.008,116.59400000000001,0.135736,0.022785800000000002,15608.4,50.4446,4.808440000000001,14471600000000.0,55.180600000000005,7.11094e+23,2962.8599999999997,50243800000000.0,2.2459200000000002e+22,170.31199999999998,104872.4,8.2139
1,X,False,1,159.17199999999997,1401.54,57.871,72.6892,103.048,110.92999999999999,0.43939000000000006,-0.00337184,15304.6,50.0276,4.85674,11002400000000.0,55.3624,9.59918e+23,3078.88,62194400000000.0,3.06646e+22,227.06799999999998,58403.2,10.4174
2,X,False,1,803.882,1086.8799999999999,44.71060000000001,43.4062,76.0326,81.24100000000001,0.0500494,0.014600000000000002,9907.2,39.2242,4.526860000000001,33618400000000.0,33.6836,7.244780000000001e+23,2300.2200000000003,42095200000000.0,3.78794e+22,281.79400000000004,23875.8,16.369999999999997
3,X,False,1,203.468,1383.7199999999998,54.6922,69.4346,108.09,110.07800000000002,0.431794,0.00631776,8430.119999999999,43.950599999999994,4.428279999999999,9786280000000.0,42.8838,3.60552e+23,1714.8799999999999,36088400000000.0,1.76512e+22,79.29780000000001,11322.0,5.827859999999999
4,X,True,1,392.74,1210.4599999999998,49.181999999999995,70.32560000000001,115.138,120.08,0.231216,0.0163688,10529.4,39.2624,4.3445599999999995,19659400000000.0,36.504599999999996,3.35782e+23,1686.1600000000003,29163200000000.0,1.5644999999999999e+22,47.8804,12579.4,3.8459199999999996
5,X,True,1,351.999,1914.8,46.605000000000004,45.0104,68.3086,83.54979999999999,0.021171099999999998,-0.0045359,14607.4,41.401599999999995,4.75318,15624000000000.0,38.458800000000004,1.53034e+24,4494.42,70226400000000.0,6.0165799999999996e+22,266.108,29330.0,13.177600000000002
6,X,False,1,126.43819999999998,2653.96,46.400200000000005,40.598400000000005,62.6014,80.6742,-0.004402980000000001,0.0010343919999999999,13784.0,40.81,4.79336,8370240000000.0,39.60340000000001,1.95114e+24,5095.74,79703000000000.0,8.30048e+22,334.53000000000003,49703.2,15.174000000000001
7,X,False,1,545.02,1037.06,33.068,30.445399999999996,62.35640000000001,68.62719999999999,0.01462581,-0.00859636,4523.88,24.482599999999998,4.47498,24673000000000.0,15.1234,3.80938e+23,1753.86,32666400000000.0,4.31526e+22,750.6479999999999,3471.16,85.14680000000001
8,X,True,1,931.4860000000001,1144.4,50.0436,42.581199999999995,60.5296,77.59400000000001,0.058329679999999995,-0.0205462,15334.0,44.6674,4.38922,33555200000000.0,44.621,9.231919999999999e+23,2375.7,35165200000000.0,3.7606600000000003e+22,102.856,27842.8,6.07032
9,X,False,1,2178.68,1718.6200000000001,51.2128,60.034000000000006,89.14659999999999,107.106,-0.0017580840000000011,-0.032923,18196.8,45.8648,5.15292,78426600000000.0,45.982200000000006,1.59936e+24,5124.74,77918400000000.0,5.3285799999999996e+22,200.748,214242.0,6.58344
10,X,False,1,2152.14,1744.8800000000003,51.1648,60.4876,89.53599999999999,107.61599999999999,-0.013056040000000001,-0.032236400000000005,18095.6,45.873000000000005,5.171380000000001,78286800000000.0,46.0808,1.60448e+24,5212.78,79084000000000.0,5.385119999999999e+22,207.00200000000004,230580.0,6.830699999999998
11,X,False,1,1453.7,2226.98,47.1034,68.3572,108.34200000000001,122.894,-0.16297,-0.018764799999999998,14341.2,40.3364,5.171539999999999,45445000000000.0,36.482,1.4759e+24,6683.32,105830000000000.0,5.9020000000000005e+22,299.976,144022.0,10.9294
12,X,False,1,1368.7399999999998,4564.719999999999,53.032799999999995,57.0264,94.3608,97.78240000000001,0.258234,0.0095981,12022.2,45.520799999999994,5.0719199999999995,57949400000000.0,45.8746,2.27684e+24,6757.18,137932000000000.0,8.617639999999999e+22,495.634,233280.0,14.684800000000001
13,X,False,1,255.51800000000003,840.0200000000001,44.6124,39.5364,67.583,94.68780000000001,-0.0774278,-0.007979320000000002,11161.6,37.8474,4.43896,13437800000000.0,35.715999999999994,4.745800000000001e+23,1679.48,23677800000000.0,2.50106e+22,397.246,10603.32,47.863800000000005
14,X,True,1,6.66456,436.762,52.6288,42.2864,73.5692,89.2068,-0.10662020000000001,0.0015797219999999998,10851.8,45.574,4.606,596586000000.0,47.9556,6.04672e+22,220.51,3286540000000.0,3.00786e+21,72.4238,62149.2,5.096259999999999
15,X,True,1,816.25,1921.06,43.2408,50.7068,92.45899999999999,100.1868,0.160188,-0.011104,10557.4,37.6782,4.61724,37261800000000.0,31.5788,1.03076e+24,3669.94,70310200000000.0,5.2420599999999995e+22,247.94400000000002,27715.8,12.518400000000002
16,X,False,1,284.25,2143.7400000000002,42.3322,34.834999999999994,64.83539999999999,84.6588,0.03302298,-0.0030265000000000005,13086.8,35.5218,4.313219999999999,14052560000000.0,30.563599999999997,1.62954e+24,4032.1200000000003,64101200000000.0,6.74042e+22,96.5914,23779.0,4.6838
17,X,False,1,1075.9,2332.0,43.9088,49.5092,84.667,94.523,-0.0526018,0.0110244,11286.2,38.6024,5.013540000000001,37239400000000.0,33.6344,1.4625600000000003e+24,5346.68,93659400000000.0,7.14896e+22,270.378,88091.0,11.042
18,X,False,1,591.37,2374.1400000000003,51.64079999999999,65.5064,102.702,108.27000000000001,-0.0628674,0.0083954,12827.0,44.21,4.83896,14304800000000.0,44.915800000000004,1.2000399999999999e+24,4586.12,84884600000000.0,4.78088e+22,273.39,92148.0,11.6512
19,X,False,1,591.9100000000001,2173.04,53.30499999999999,67.68679999999999,107.696,112.59400000000001,0.17721,0.011311640000000001,12153.8,44.504599999999996,4.551219999999999,14471800000000.0,44.900999999999996,8.452580000000001e+23,3364.2599999999998,63865000000000.0,3.42862e+22,304.62,52845.4,14.4164
20,X,False,1,621.558,1505.7400000000002,38.8036,45.0256,86.4778,95.1554,-0.180048,0.00889758,7688.740000000001,25.951,4.81482,26395400000000.0,23.6714,7.133659999999999e+23,3220.6000000000004,56690800000000.0,5.19968e+22,216.63599999999997,22015.4,13.0554
21,X,False,1,1971.48,4552.76,55.1678,57.825599999999994,90.31620000000001,94.6532,0.19763999999999998,0.014305000000000002,16144.0,48.2686,5.044980000000001,67030400000000.0,50.895999999999994,2.9554e+24,7285.76,147448000000000.0,8.89498e+22,333.06399999999996,170858.0,9.061580000000001
22,X,False,1,1.38755,100.748,18.443599999999996,22.380999999999997,57.621,58.971399999999996,-0.07864260000000001,0.000188209,566.138,13.635,0.0,285124000000.0,0.9817300000000001,5.23646e+21,114.422,2565660000000.0,4.4163200000000005e+21,123.218,89932.8,7.541120000000001
