,all,coincident,noncoincident
0,0.8989169675090253,0.9606741573033708,0.7777777777777778
1,0.8945454545454545,0.96045197740113,0.7857142857142857
2,0.8848920863309353,0.949438202247191,0.78
3,0.8705035971223022,0.9441340782122905,0.7676767676767676
4,0.8633093525179856,0.9385474860335196,0.7474747474747475
5,0.8718861209964412,0.9447513812154696,0.75
6,0.8678571428571429,0.943502824858757,0.7864077669902912
7,0.8718861209964412,0.9491525423728814,0.7884615384615384
8,0.8642857142857143,0.9491525423728814,0.7961165048543689
9,0.8637992831541219,0.9550561797752809,0.7821782178217822
10,0.8592057761732852,0.9545454545454546,0.7821782178217822
11,0.8700361010830325,0.9488636363636364,0.7920792079207921
12,0.8754448398576512,0.9550561797752809,0.7864077669902912
13,0.8683274021352313,0.9548022598870056,0.7884615384615384
14,0.8714285714285714,0.96045197740113,0.7766990291262136
15,0.8642857142857143,0.9602272727272727,0.7596153846153846
16,0.8631578947368421,0.95,0.7523809523809524
17,0.8596491228070176,0.9497206703910615,0.7452830188679245
18,0.8566433566433567,0.9441340782122905,0.7383177570093458
19,0.8586572438162544,0.9375,0.7570093457943925
20,0.8546099290780141,0.9382022471910112,0.75
21,0.8607142857142858,0.9488636363636364,0.7788461538461539
22,0.8652482269503546,0.9488636363636364,0.7641509433962265
