,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15,MEANJZH_16,MEANJZH_17,MEANJZH_18,MEANJZH_19,MEANJZH_20,MEANJZH_21,MEANJZH_22,MEANJZH_23,MEANJZH_24,MEANJZH_25,MEANJZH_26,MEANJZH_27,MEANJZH_28,MEANJZH_29,MEANJZH_30,MEANJZH_31,MEANJZH_32,MEANJZH_33,MEANJZH_34,MEANJZH_35,MEANJZH_36,MEANJZH_37,MEANJZH_38,MEANJZH_39,MEANJZH_40,MEANJZH_41,MEANJZH_42,MEANJZH_43,MEANJZH_44,MEANJZH_45,MEANJZH_46,MEANJZH_47,MEANJZH_48,MEANJZH_49,MEANJZH_50,MEANJZH_51,MEANJZH_52,MEANJZH_53,MEANJZH_54,MEANJZH_55,MEANJZH_56,MEANJZH_57,MEANJZH_58,MEANJZH_59,MEANJZH_60
0,X,False,0.022205,0.021724,0.022539,0.023239,0.024222,0.023233,0.023516,0.023874,0.024104,0.023511,0.024399,0.024345,0.023762,0.023774,0.023181,0.022894,0.023014,0.022479,0.021898,0.021968,0.021384,0.021126,0.021155,0.021372,0.02075,0.02069,0.021193,0.020547,0.020765,0.020775,0.020697,0.020525,0.019906,0.020015,0.020294,0.020262,0.020361,0.019739,0.020079,0.019057,0.018478,0.019523,0.019288,0.01994,0.017454,0.017084,0.017927,0.01691,0.016945,0.016711,0.016889,0.017305,0.016687,0.0164,0.016237,0.016206,0.015716,0.014816,0.014841,0.014291
1,X,False,-0.0036212,-0.0037767,-0.0037094,-0.0030731,-0.0026788,-0.0031772,-0.0034954,-0.0033839,-0.0033109,-0.0036003,-0.0035588,-0.0038925,-0.0037955,-0.0036588,-0.0042898,-0.0054706,-0.0049872,-0.0046883,-0.0053974,-0.0052186,-0.0054215,-0.0046226,-0.0042858,-0.0044608,-0.0039293,-0.0044904,-0.0047474,-0.0039277,-0.0037051,-0.0034445,-0.0036387,-0.0037016,-0.0028314,-0.0030744,-0.0026191,-0.0018049,-0.00178,-0.001768,-0.0023886,-0.0028083,-0.0029539,-0.0031116,-0.0030569,-0.0036149,-0.0041916,-0.0041218,-0.0045603,-0.0042278,-0.0047836,-0.0040734,-0.0040132,-0.003473,-0.0029779,-0.0025324,-0.002663,-0.0027096,-0.002619,-0.0021936,-0.0023366,-0.0022233
2,X,False,0.014918,0.014699,0.014306,0.014452,0.014625,0.014985,0.014894,0.015452,0.015311,0.015436,0.015486,0.015837,0.015543,0.015458,0.015603,0.015448,0.015388,0.015683,0.015649,0.015449,0.015447,0.015502,0.015378,0.01529,0.015526,0.015096,0.015618,0.015462,0.015448,0.015692,0.015365,0.015131,0.015592,0.015973,0.016036,0.016209,0.015965,0.01633,0.016439,0.016231,0.016274,0.016847,0.017143,0.017232,0.017644,0.017904,0.018142,0.018305,0.018411,0.018151,0.01831,0.018149,0.018567,0.019041,0.018999,0.019209,0.01944,0.019207,0.019883,0.019598
3,X,False,0.006875,0.006112,0.0059356,0.0061404,0.0065258,0.0058851,0.0060678,0.0056883,0.0059153,0.0051044,0.005381,0.0074065,0.0062071,0.0073228,0.0057741,0.0050914,0.0053138,0.0063219,0.0055735,0.0073171,0.0076449,0.0078009,0.0076445,0.0074274,0.0072756,0.0071028,0.0073807,0.0068788,0.0081991,0.0086632,0.0095948,0.0099579,0.0097655,0.010376,0.010392,0.010313,0.0094233,0.0093348,0.0084994,0.0085376,0.0084795,0.0095449,0.0088136,0.0083613,0.0085171,0.0087683,0.0093104,0.00872,0.0084079,0.0084595,0.0081112,0.0083273,0.0088046,0.0090004,0.0092014,0.0091824,0.0086008,0.0086025,0.0081299,0.0079155
4,X,True,0.014583,0.016122,0.016697,0.01694,0.017502,0.016689,0.01741,0.017551,0.018187,0.018166,0.018761,0.018381,0.018528,0.018143,0.017456,0.01766,0.016846,0.01634,0.01659,0.016278,0.017077,0.016912,0.01661,0.015758,0.015602,0.015625,0.01616,0.016092,0.015773,0.01635,0.015895,0.015057,0.015173,0.014738,0.013941,0.014342,0.014044,0.01344,0.013309,0.012799,0.013817,0.013779,0.013736,0.014315,0.015031,0.014077,0.015187,0.0148,0.014418,0.014707,0.014719,0.014461,0.014032,0.014014,0.013757,0.013516,0.012973,0.01202,0.01264,0.012182
5,X,False,0.0011629,0.0021336,-0.00037754,0.0011515,0.0011015,0.00055166,0.00024627,0.00079262,0.00073111,0.00049679,0.0012203,0.00075533,0.00081466,0.001262,0.0014914,0.0016392,0.0015256,0.001603,0.0024388,0.0019106,0.0023221,0.0016821,0.0027949,0.0019843,0.0028388,0.0028314,0.0026652,0.0024221,0.0018459,0.0026363,0.0016749,0.0022308,0.0023281,0.0020098,0.0019723,0.00058025,0.0024305,0.00046306,0.0021356,0.001421,0.0016309,0.00022934,-0.00021754,0.0015144,0.00045533,3.0345e-05,0.00027335,0.00034573,0.00045884,-0.00034958,-0.00023597,0.00057397,-0.000438,0.00016876,-3.9392e-05,-0.00022264,-0.0002309,0.00017566,0.00075953,0.00015706
6,X,True,-0.020673,-0.019924,-0.020424,-0.020339,-0.021371,-0.020168,-0.021251,-0.020736,-0.020737,-0.022603,-0.021677,-0.021321,-0.021134,-0.022053,-0.022586,-0.021782,-0.022455,-0.022893,-0.022347,-0.02256,-0.021419,-0.020642,-0.020445,-0.020619,-0.020862,-0.019842,-0.020057,-0.019759,-0.019281,-0.019135,-0.018893,-0.018573,-0.018588,-0.019513,-0.018145,-0.018734,-0.018516,-0.018804,-0.018923,-0.018887,-0.01867,-0.019391,-0.019029,-0.019766,-0.018918,-0.018055,-0.018937,-0.019009,-0.01941,-0.019732,-0.020183,-0.019637,-0.019587,-0.019895,-0.020445,-0.020045,-0.020498,-0.020512,-0.020896,-0.020732
7,X,False,0.0095649,0.0095283,0.0095258,0.0098069,0.0095646,0.0097648,0.00983,0.010058,0.010259,0.010167,0.010054,0.010618,0.010714,0.010963,0.011221,0.011175,0.011549,0.011601,0.01155,0.011847,0.011808,0.01138,0.011526,0.011277,0.0078733,0.010504,0.010619,0.010123,0.010049,0.009809,0.0099935,0.0099684,0.010263,0.0098519,0.010137,0.010169,0.010303,0.010311,0.010242,0.010172,0.0099899,0.010062,0.0097618,0.010379,0.010369,0.01003,0.010584,0.01038,0.010152,0.010276,0.010256,0.010256,0.010309,0.01015,0.010458,0.010547,0.010052,0.0098895,0.009958,0.0099273
8,X,False,-0.004922,-0.0095317,-0.008448,-0.007431,-0.0095639,-0.010024,-0.021119,-0.010747,-0.011063,-0.022133,-0.011239,-0.022146,-0.011593,-0.0099597,-0.0078664,-0.008537,-0.0078327,-0.0081117,-0.011365,-0.0081763,-0.012611,-0.012776,-0.012922,-0.012897,-0.012659,-0.013614,-0.015056,-0.016577,-0.014211,-0.016738,-0.017881,-0.017864,-0.017137,-0.016004,-0.016076,-0.015883,-0.017035,-0.014131,-0.012626,-0.015926,-0.015573,-0.015505,-0.016933,-0.013668,-0.014381,-0.01545,-0.015376,-0.015087,-0.015604,-0.014557,-0.01548,-0.01531,-0.015415,-0.016557,-0.016935,-0.016251,-0.016809,-0.015978,-0.015987,-0.015118
9,X,True,-0.010708,-0.010774,-0.011211,-0.011213,-0.011614,-0.010797,-0.010595,-0.010395,-0.010488,-0.010229,-0.011851,-0.010845,-0.0099195,-0.010103,-0.0094348,-0.009473,-0.0098408,-0.0095498,-0.0095283,-0.0098328,-0.0092136,-0.009165,-0.0087026,-0.008947,-0.0092613,-0.0093265,-0.0096614,-0.0098691,-0.0098519,-0.010296,-0.010574,-0.010682,-0.010879,-0.011389,-0.011373,-0.010842,-0.010587,-0.010699,-0.010407,-0.010362,-0.0098748,-0.0096832,-0.0097822,-0.0066073,-0.0093894,-0.0091982,-0.0092658,-0.0058673,-0.0086535,-0.0085205,-0.0082951,-0.0081916,-0.0058156,-0.0059672,-0.0057906,-0.0084042,-0.0086506,-0.0086704,-0.0090107,-0.0086053
