,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15,MEANJZH_16,MEANJZH_17,MEANJZH_18,MEANJZH_19,MEANJZH_20,MEANJZH_21,MEANJZH_22,MEANJZH_23,MEANJZH_24,MEANJZH_25,MEANJZH_26,MEANJZH_27,MEANJZH_28,MEANJZH_29,MEANJZH_30,MEANJZH_31,MEANJZH_32,MEANJZH_33,MEANJZH_34,MEANJZH_35,MEANJZH_36,MEANJZH_37,MEANJZH_38,MEANJZH_39,MEANJZH_40,MEANJZH_41,MEANJZH_42,MEANJZH_43,MEANJZH_44,MEANJZH_45,MEANJZH_46,MEANJZH_47,MEANJZH_48,MEANJZH_49,MEANJZH_50,MEANJZH_51,MEANJZH_52,MEANJZH_53,MEANJZH_54,MEANJZH_55,MEANJZH_56,MEANJZH_57,MEANJZH_58,MEANJZH_59,MEANJZH_60
10,X,False,-0.0044399,-0.00407,-0.0020353,-0.0027942,-0.0017931,-0.0025972,-0.00143,-0.0018489,-0.0017924,-0.0029113,-0.0037936,-0.0036315,-0.0019009,-0.0026821,-0.0032386,-0.0031825,-0.00031274,-0.0021719,-0.0011602,-0.00077407,-0.0026962,-0.0015662,-0.0023647,-0.0033832,-0.002868,-0.0034287,-0.00097922,-0.0014366,-0.0024698,-0.0013363,-0.0018778,-0.0007174,-0.0020185,-0.0030218,-0.0028679,-0.00317,-0.0071039,-0.010091,-0.0048324,-0.0055272,-0.0058806,-0.00661,-0.0072365,-0.0067548,-0.006312,-0.0055196,-0.0050875,-0.0058746,-0.0053033,-0.0056436,-0.0025482,-0.0052552,-0.0053902,-0.0056631,-0.0062056,-0.0016971,-0.005231,-0.005366,-0.0056714,-0.0047766
11,X,False,0.010704,0.010827,0.010799,0.010854,0.011938,0.011943,0.012339,0.012707,0.011799,0.011418,0.012409,0.011997,0.012149,0.012098,0.012473,0.012707,0.011307,0.013202,0.013691,0.013585,0.013998,0.012082,0.012036,0.012533,0.012711,0.01287,0.014453,0.012665,0.011434,0.011445,0.011407,0.011712,0.012217,0.010807,0.011054,0.010417,0.010296,0.010621,0.010655,0.010611,0.01013,0.01084,0.010629,0.011171,0.010952,0.010375,0.012598,0.011799,0.013352,0.012974,0.013645,0.012736,0.01457,0.014314,0.0061004,0.014204,0.01479,0.014973,0.014843,0.014961
12,X,False,0.0084404,0.0081428,0.0078152,0.0091983,0.0083803,0.0077028,0.007764,0.0081991,0.0077661,0.0077719,0.0077758,0.0076521,0.0073889,0.007344,0.007353,0.007238,0.007089,0.0073239,0.0070369,0.0069815,0.0072776,0.0072229,0.0072645,0.0074665,0.0077141,0.0077332,0.0078139,0.0079808,0.008525,0.0085286,0.0090709,0.0089364,0.0089509,0.0090266,0.0092655,0.0092765,0.009121,0.0088086,0.0090617,0.0092095,0.0094517,0.010187,0.010187,0.010153,0.010121,0.010152,0.010493,0.010098,0.010736,0.010472,0.010029,0.011795,0.011928,0.01178,0.011713,0.011495,0.011691,0.012066,0.011999,0.012335
13,X,False,0.0097552,0.011344,0.011755,0.011532,0.012172,0.012182,0.011876,0.01161,0.011374,0.011527,0.011413,0.011214,0.011631,0.011146,0.011068,0.011822,0.011493,0.011343,0.010457,0.01084,0.011304,0.010948,0.010483,0.010417,0.01018,0.010302,0.010719,0.010523,0.0108,0.010762,0.010977,0.011473,0.01193,0.011959,0.011871,0.012009,0.01203,0.012089,0.012568,0.012684,0.012955,0.013106,0.013731,0.013311,0.01332,0.013355,0.013766,0.014346,0.013903,0.013908,0.014516,0.014448,0.015053,0.015272,0.015575,0.015531,0.015349,0.015177,0.015656,0.01518
14,X,False,0.0087187,0.0089337,0.0092435,0.0087867,0.0088053,0.0088081,0.0085263,0.0087526,0.0086766,0.0088011,0.0086762,0.0081218,0.0084506,0.0087916,0.0087493,0.0089392,0.0091662,0.0087926,0.009512,0.0093287,0.0099596,0.0097188,0.009592,0.0095343,0.0096176,0.0095507,0.0095443,0.0097787,0.010069,0.010156,0.010001,0.010102,0.010438,0.010469,0.010234,0.010703,0.01005,0.010259,0.010272,0.0084215,0.0099704,0.0099655,0.01019,0.0099636,0.01026,0.010423,0.010597,0.010481,0.010566,0.010651,0.010985,0.01101,0.011146,0.011162,0.011498,0.011403,0.011561,0.0099098,0.011226,0.01097
15,X,False,0.013756,0.013999,0.014159,0.014613,0.014998,0.015436,0.015729,0.01575,0.015742,0.015818,0.016188,0.015693,0.015728,0.015018,0.015115,0.015256,0.014985,0.014702,0.014515,0.014293,0.014496,0.014612,0.014606,0.014425,0.014887,0.014895,0.015016,0.015482,0.01495,0.015086,0.015376,0.015711,0.015451,0.015614,0.01567,0.015556,0.015667,0.015824,0.015769,0.015723,0.015736,0.015836,0.015478,0.015685,0.01565,0.015681,0.015725,0.015197,0.01529,0.015238,0.015136,0.015076,0.015253,0.015492,0.015327,0.015047,0.014997,0.015078,0.015009,0.014789
16,X,False,0.00024922,-2.4541e-05,3.1736e-05,0.0004371,0.00024753,-0.00015752,0.0004254,0.00034504,4.4533e-05,0.00014333,0.00067253,0.00040785,0.00034967,-0.00037666,-0.00063892,-0.00089364,-0.00053909,-0.0012088,-0.0011509,-0.00030611,-0.0005581,-0.00021631,0.00012851,0.00036769,0.00043157,0.00010189,0.0001629,-0.00060764,-0.00052708,0.0017076,-0.00044654,0.0015803,3.0493e-05,0.0011731,0.00088066,0.00021742,0.00097768,0.00082562,0.00088411,0.0011596,0.0010827,-0.00056886,-0.00016223,0.00090286,0.00052706,0.00039206,0.00056787,0.00017907,-0.00087289,-0.0011254,-4.4975e-05,-0.0019593,-0.0021211,-0.0025585,-0.0035583,-0.004232,-1.3019e-05,0.0018672,0.003059,0.0046647
17,X,False,0.0038556,0.0031738,0.0043151,0.0041996,0.0045109,0.0046258,0.0045331,0.0042038,0.0039802,0.0043853,0.0023413,0.0038824,0.0036041,0.0029575,0.0015509,0.0029706,0.0030542,0.0024942,0.0011042,0.00096009,-0.0028392,-0.00036303,-0.0020811,-0.0031417,-0.0034426,-0.0044069,-0.0035894,-0.0038856,-0.0034694,-0.0037177,-0.0034778,-0.0036,-0.0037032,-0.0038119,-0.0040873,-0.0039524,-0.0032355,-0.0033103,-0.0040077,-0.0037187,-0.0040582,-0.0041189,-0.0036726,-0.0038781,-0.0034644,-0.0040316,-0.0039154,-0.0042978,-0.0049504,-0.0051305,-0.0052988,-0.0052769,-0.0053373,-0.0051093,-0.0054269,-0.0051181,-0.0049408,-0.0056014,-0.0050126,-0.0042152
18,X,False,0.018434,0.019108,0.02214,0.019958,0.019073,0.01939,0.0191,0.021025,0.020403,0.019395,0.017377,0.018727,0.018232,0.019614,0.018546,0.01585,0.020894,0.025081,0.023476,0.020781,0.024606,0.026272,0.027272,0.02584,0.026476,0.025511,0.025635,0.026066,0.023764,0.028078,0.026612,0.027343,0.028907,0.027199,0.029469,0.028549,0.027368,0.026942,0.027121,0.027259,0.028748,0.029131,0.029277,0.029737,0.029908,0.030643,0.030779,0.032384,0.032101,0.032681,0.033591,0.026489,0.034352,0.033636,0.034862,0.034263,0.034535,0.027574,0.033083,0.026729
19,X,False,-0.0062506,0.00014976,-0.0058481,0.0007632,-0.0056829,-0.0054376,-0.0050429,-0.0054671,0.0010671,0.0005005,-0.0048862,-0.0047302,-0.0045878,-0.0046858,-0.0044799,-0.0048011,-0.0047911,-0.0045752,-0.0052869,-0.0055334,-0.0055896,-6.9613e-05,-0.0053762,-0.0056097,-0.00615,-0.0057316,-0.0059567,-0.0060538,-0.0056076,-0.0053713,-0.0055996,-0.0055718,-0.005963,-0.0058234,-0.0059439,-0.0050448,-0.0056396,-0.0061507,-0.0058865,-0.0054672,-0.0060085,-0.0054646,-0.0054342,-0.0052818,-0.0055124,-0.0055875,-0.0057519,-0.004813,-0.0050851,-0.005229,-0.0054435,-0.0057846,-0.0058453,-0.0060262,-0.005883,-0.0059188,-0.005811,-0.0057333,-0.0057306,-0.0056608
20,X,True,-0.00025176,-8.36e-05,-0.00030012,-0.00021518,-0.00023822,-0.00021943,-0.00029999,-0.00026131,-0.00039528,0.00010911,0.0002436,0.00037852,0.00023647,0.00044107,0.00053778,0.0005774,0.00041626,0.00013125,3.5097e-05,7.3601e-05,-5.9493e-05,-0.00028411,-0.00031163,-0.00050065,-0.00043286,-0.00058734,-0.00075228,-0.00092861,-0.00082852,-0.00077841,-0.00086794,-0.00087666,-0.00097668,-0.0008564,-0.00074895,-0.00037499,-0.00033125,-0.00053132,-0.00059176,-0.00049759,-0.0001515,-0.00019761,-4.5569e-05,3.9531e-05,0.00034065,0.0003709,0.00048592,0.00037422,0.00053907,0.00040362,0.00070725,0.00071349,0.00088923,0.00059695,0.00066845,0.0009864,0.00095227,0.0004002,0.00048288,0.00037869
21,X,False,0.021382,0.021503,0.020623,0.020972,0.021413,0.021942,0.021977,0.02288,0.023669,0.024172,0.025075,0.025629,0.025423,0.025943,0.027062,0.027476,0.028142,0.028383,0.028296,0.029565,0.028973,0.02864,0.029278,0.027642,0.028703,0.029108,0.028311,0.027541,0.028626,0.027823,0.027752,0.027033,0.026163,0.02604,0.026488,0.026792,0.026578,0.027053,0.026822,0.027703,0.027517,0.026532,0.026604,0.026957,0.028151,0.02738,0.027857,0.029526,0.030378,0.030252,0.032157,0.031594,0.03413,0.035183,0.0341,0.034544,0.033408,0.032918,0.032928,0.033261
22,X,True,0.039084,0.038283,0.038009,0.037844,0.038609,0.039391,0.040136,0.041341,0.043606,0.044144,0.045821,0.045585,0.046331,0.047211,0.047049,0.04751,0.047827,0.047229,0.045269,0.044843,0.043976,0.043238,0.042197,0.041617,0.041706,0.041916,0.042829,0.042713,0.04254,0.043551,0.04453,0.04577,0.046857,0.048307,0.049109,0.050023,0.051079,0.050955,0.05215,0.052072,0.052598,0.052788,0.052696,0.053598,0.054184,0.053373,0.053089,0.053492,0.052898,0.05288,0.052117,0.0514,0.051407,0.050335,0.049971,0.049031,0.0482,0.045841,0.045245,0.043245
23,X,False,0.0010429,-0.0057684,-0.0020477,-0.0032164,-0.01619,-0.004547,-0.0040626,-0.0043775,-0.0055756,-0.0048032,-0.0052322,-0.0057916,-0.0065709,-0.0073284,-0.0085682,-0.0074553,-0.0081023,-0.0082413,-0.0071824,-0.0047987,-0.004599,-0.0079273,-0.0065032,-0.0072266,-0.0076247,-0.0071647,-0.0066134,-0.00628,-0.0059103,-0.0056464,-0.0058957,-0.0060455,-0.0053238,-0.0054466,-0.0062785,-0.0067327,-0.0063505,-0.0064886,-0.0062161,-0.0065651,-0.0063454,-0.0068425,-0.0067268,-0.0069458,-0.0063954,-0.0060005,-0.0035796,-0.0048441,-0.004019,-0.0039273,-0.0030808,-0.0036291,-0.0027687,-0.0029497,-0.0041137,-0.0017244,-0.0028353,-0.0033193,-0.0023525,-0.00065515
24,X,True,-0.049463,-0.052103,-0.050887,-0.051803,-0.051872,-0.05125,-0.051666,-0.050092,-0.050049,-0.045717,-0.050263,-0.050484,-0.051915,-0.051068,-0.052287,-0.053185,-0.052893,-0.053353,-0.054114,-0.053579,-0.054257,-0.053729,-0.053786,-0.053903,-0.053557,-0.053429,-0.052966,-0.052719,-0.05375,-0.052891,-0.053174,-0.05499,-0.054181,-0.053806,-0.05476,-0.056097,-0.05086,-0.058037,-0.059604,-0.060022,-0.06176,-0.06072,-0.06128,-0.059929,-0.063497,-0.064698,-0.067966,-0.068599,-0.06885,-0.066382,-0.065276,-0.06328,-0.063228,-0.061809,-0.063179,-0.06297,-0.064776,-0.064451,-0.063436,-0.06576
25,X,True,-0.052287,-0.053185,-0.052893,-0.053353,-0.054114,-0.053579,-0.054257,-0.053729,-0.053786,-0.053903,-0.053557,-0.053429,-0.052966,-0.052719,-0.05375,-0.052891,-0.053174,-0.05499,-0.054181,-0.053806,-0.05476,-0.056097,-0.05086,-0.058037,-0.059604,-0.060022,-0.06176,-0.06072,-0.06128,-0.059929,-0.063497,-0.064698,-0.067966,-0.068599,-0.06885,-0.066382,-0.065276,-0.06328,-0.063228,-0.061809,-0.063179,-0.06297,-0.064776,-0.064451,-0.063436,-0.06576,-0.06618,-0.065912,-0.067396,-0.067838,-0.068179,-0.0684,-0.066711,-0.066955,-0.067238,-0.067552,-0.067751,-0.068028,-0.067412,-0.066054
26,X,False,-0.0063132,-0.0099084,-0.0096551,-0.0078208,-0.0081492,-0.010055,-0.0084667,-0.0032482,-0.0072696,-0.0046876,-0.0079637,-0.0077139,-0.0062154,-0.0030108,-0.0062049,-0.003831,-0.0059946,-0.0062923,-0.0045362,-0.0030138,-0.0042378,-0.0053524,-0.0046093,-0.0064627,-0.0056395,-0.0044532,-0.0060788,-0.0052046,-0.0079577,-0.0070006,-0.005939,-0.0034914,-0.003681,-0.0018201,-0.003662,-0.0038424,-0.0070002,-0.00071987,-0.0039898,-0.0028838,-0.0025461,-0.0036813,-0.0019169,-0.00067525,-0.000741,-0.0065766,-0.0026461,-0.0028726,-0.0008368,0.0029782,-0.004298,-0.0021785,-0.0038697,-0.0054339,-0.0046477,0.0028476,-0.0015008,0.0042818,-0.0010236,0.0031558
27,M,False,-0.026659,-0.024196,-0.026369,-0.026217,-0.026725,-0.026867,-0.027216,-0.028334,-0.027015,-0.026173,-0.026737,-0.025435,-0.026662,-0.025532,-0.027277,-0.027065,-0.026638,-0.027323,-0.0283,-0.031307,-0.030253,-0.030745,-0.031577,-0.053577,-0.028585,-0.02923,-0.028977,-0.027644,-0.027314,-0.028561,-0.029059,-0.027117,-0.028779,-0.026486,-0.026958,-0.026781,-0.027783,-0.026481,-0.025107,-0.026637,-0.027313,-0.0279,-0.028173,-0.029646,-0.030315,-0.031406,-0.029089,-0.031199,-0.030771,-0.031283,-0.032797,-0.034343,-0.032497,-0.033824,-0.033284,-0.031596,-0.03127,-0.030351,-0.030253,-0.030248
28,M,False,-0.0064976,-0.0057177,-0.0065572,-0.010217,-0.0056703,-0.0063757,-0.01078,-0.0039551,-0.0043629,-0.0032129,-0.0030532,-0.0026649,-0.0030194,-0.0021203,-0.0011659,-0.00038456,0.0056927,0.0020341,0.0042068,-0.0015692,0.0075874,0.00019493,0.0070638,0.0038357,0.0057194,0.0058217,0.0021076,0.0043317,0.003038,0.0030352,0.0043209,0.0043309,0.0032014,0.0041845,0.0064503,0.002744,0.0059325,0.0030712,-0.0013247,0.0015355,-0.0067263,-0.0022597,-0.00089039,-0.0029799,-0.0035707,0.0027192,0.00020116,0.0015495,-0.00048364,0.00087255,-0.0038811,-0.0023541,0.0041079,0.0023043,-0.00016028,-0.002776,0.0012393,0.00093743,-0.0013062,-0.0056529
29,M,False,-0.0049118,-0.0053353,-0.0053082,-0.0054182,-0.0057139,-0.0057834,-0.0058997,-0.0057495,-0.0059262,-0.0059734,-0.0059149,-0.0057965,-0.005463,-0.0058695,-0.0057758,-0.0055553,-0.0054239,-0.0052956,-0.0047498,-0.0048562,-0.0044195,-0.004765,-0.0043714,-0.0044282,-0.0044959,-0.0041122,-0.0041788,-0.0041323,-0.0041944,-0.0042214,-0.0042633,-0.0045515,-0.0048071,-0.0049499,-0.0046525,-0.0048403,-0.0051628,-0.0051085,-0.0053644,-0.0051411,-0.0047627,-0.0048959,-0.0051358,-0.0048978,-0.0051352,-0.005071,-0.0052536,-0.0052092,-0.0052099,-0.005471,-0.0047952,-0.0055431,-0.0057588,-0.0054213,-0.0050247,-0.0057419,-0.0059896,-0.0061119,-0.0059287,-0.0060375
30,M,True,0.016684,0.010916,0.0013572,0.010165,0.010823,0.010471,0.010261,0.011386,0.010755,0.017234,0.012101,0.011393,0.011476,0.011797,0.012169,0.012752,0.012993,0.014378,0.013012,0.013149,0.012637,0.014194,0.014076,0.012768,0.012549,0.013341,0.012325,0.012624,0.012634,0.012281,0.012119,0.011553,0.010466,0.010857,0.011657,0.011999,0.01138,0.011099,0.011126,0.012036,0.013767,0.010709,0.011565,0.013131,0.01267,0.011784,0.011779,0.011201,0.013161,0.013021,0.012059,0.011975,0.011872,0.012687,0.012671,0.01186,0.010628,0.010595,0.0095717,0.010426
31,M,False,-0.0037179,-0.0034453,-0.0030137,-0.003199,-0.0030677,-0.0023736,-0.0031126,-0.0032003,-0.003782,-0.0035045,-0.0030692,-0.0031631,-0.0031288,-0.0031236,-0.0032535,-0.0039927,-0.0034123,-0.003171,-0.0020825,-0.0021183,-0.0019789,-0.0029148,-0.0023829,-0.0023886,-0.0024704,-0.0025033,-0.0016678,-0.002315,-0.0020553,-0.0017845,-0.0014976,-0.0018752,-0.0022151,-0.0013546,-0.0012058,-0.00075285,-0.0015183,-0.0016731,-0.0014604,-0.0013403,-0.0013531,9.4685e-05,-0.0012465,-0.0010206,-0.0013633,-0.0010555,-0.00071691,-0.00062168,-0.00082546,-0.00022955,-0.00035213,-0.00067901,3.8837e-05,0.00023544,0.000235,0.00020532,0.00024351,0.00015455,0.00028725,0.00084845
32,M,False,0.0018861,0.0055616,0.0053871,0.0059129,0.0052655,0.0050152,0.0049166,0.0047521,0.0047108,0.0008411,0.0046856,0.0043448,0.0038147,0.0039683,0.0032067,0.0015468,0.0044462,0.0043381,0.0039483,0.0040866,0.0039902,0.0037685,0.0033286,0.00064434,0.0034004,0.0022705,0.0030568,0.0030276,0.002645,0.0026016,0.0028417,-0.0004225,0.0040183,0.0034443,0.0031004,0.0035152,0.0034964,0.0038398,-0.012047,0.003132,0.0042415,0.0042666,0.0038613,0.005451,0.005096,0.0044863,0.0045021,0.0042996,0.0037898,0.0039592,0.0045885,0.004616,0.0056927,0.0052572,0.0056854,0.0049279,0.0071321,-0.023646,0.0062822,0.0077983
33,M,False,-0.0037638,-0.002347,-0.0031427,-0.0032725,-0.0022553,-0.0020712,-0.0043524,-0.0016189,-0.0021197,-0.0010521,-0.0025688,-0.0032072,-0.0022016,-0.0038168,-0.0032564,-0.0019516,-0.0020961,-0.0019236,-0.0021742,-0.0022936,-0.0020881,-0.0024017,-0.0014674,-0.0016647,-0.0027562,-0.001393,0.00038798,0.0002828,0.00082783,-0.00062955,-0.00066793,-0.0025433,0.0007079,-0.0027103,-0.0034768,-0.0050624,-0.0041159,-0.00068403,-0.0019153,-0.0031237,-0.0053968,-0.0033718,-0.0042701,-0.0042459,-0.0045627,-0.0054945,-0.0059975,-0.0062163,-0.0055857,-0.0063007,-0.0070636,-0.0071282,-0.0073927,-0.0073623,-0.0084848,-0.0081874,-0.0079965,-0.0078426,-0.0085047,-0.008856
34,M,True,-0.00030998,-0.0015713,-0.0012342,1.3662e-05,0.0002971,0.00065768,6.1675e-05,-0.0018761,-0.0021404,-0.00022526,0.0017793,0.0015088,0.0020543,0.0032294,0.0034772,0.0039676,0.0050137,0.0057407,0.0064778,0.0071467,0.0067589,0.0069045,0.0070237,0.007726,0.0079657,0.0081097,0.008721,0.0099033,0.0103,0.010887,0.012316,0.013582,0.015221,0.016581,0.017955,0.018594,0.018922,0.018844,0.020338,0.026157,0.026988,0.028463,0.03151,0.028356,0.031018,0.032562,0.03382,0.03341,0.032544,0.030865,0.031299,0.030328,0.030586,0.031214,0.032023,0.030801,0.03019,0.027914,0.026775,0.027347
