,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60
872,B,False,46.863,46.872,47.655,47.969,47.639,47.674,48.29,48.665,49.168,48.588,48.505,48.344,49.38,49.095,48.44,48.05,48.03,47.943,47.821,47.621,48.229,48.789,49.021,49.276,49.361,49.991,49.892,50.175,50.965,51.072,51.996,52.261,53.09,54.488,54.389,54.697,56.246,56.404,56.745,55.787,55.558,54.671,54.009,53.409,52.61,50.972,50.765,49.483,49.775,50.071,49.679,49.723,49.88,49.403,50.244,50.862,51.631,51.819,52.208,52.892
873,B,False,45.618,45.54,45.31,45.859,45.429,45.181,45.504,45.521,46.134,45.867,45.608,45.881,45.718,46.307,46.934,46.541,45.994,46.024,46.853,46.509,46.31,46.263,46.464,46.493,46.899,47.471,47.159,47.211,47.61,48.042,47.657,48.137,48.132,48.548,49.058,49.275,49.293,50.058,50.265,49.996,50.217,50.719,50.282,51.117,51.068,51.216,50.962,50.938,50.72,50.605,50.573,50.132,49.862,50.387,49.926,49.692,48.601,48.711,48.883,49.437
874,B,False,29.174,29.564,30.012,29.44,29.936,29.558,30.034,29.844,29.54,29.373,29.966,30.349,30.268,30.635,30.501,30.608,30.073,31.13,31.277,30.982,31.44,31.311,30.847,31.321,30.296,30.669,30.566,30.256,30.432,30.92,30.512,30.328,30.455,30.507,30.788,30.777,30.806,31.197,30.95,31.119,30.702,30.632,30.502,30.293,30.403,30.488,30.099,30.161,30.211,30.268,30.141,29.937,29.751,29.428,29.975,29.935,30.23,29.858,30.142,31.098
875,B,False,49.487,49.058,47.38,44.763,44.948,45.873,47.409,49.06,50.064,49.544,48.868,49.935,46.875,48.324,46.767,46.525,45.907,44.702,45.535,44.029,42.618,43.169,42.482,41.228,42.368,42.786,40.639,40.207,40.883,41.889,42.002,41.585,42.243,43.12,43.46,43.803,42.19,42.356,43.385,43.958,45.082,45.035,45.742,45.452,45.099,46.964,45.045,44.6,44.283,41.808,42.556,41.881,41.031,41.581,41.086,41.284,39.99,39.292,41.83,39.399
876,B,True,62.073,60.849,61.193,61.528,60.341,60.207,59.845,60.358,61.795,61.673,61.55,63.403,64.866,66.681,67.149,66.419,67.144,66.357,66.732,66.137,66.961,66.312,65.358,64.101,62.348,60.61,59.81,59.924,58.899,58.179,56.606,56.315,56.655,55.53,55.321,54.395,54.142,53.927,53.617,54.063,52.457,52.593,53.572,52.732,53.225,53.56,53.553,54.447,54.706,55.044,55.274,55.704,56.373,57.538,59.046,60.878,61.973,62.718,62.57,63.221
877,B,True,81.506,83.758,80.922,83.57,84.545,81.323,78.124,77.645,77.425,78.618,77.866,77.286,77.104,74.185,72.01,71.536,72.809,73.374,71.351,70.875,72.93,73.697,73.673,75.317,77.316,76.422,76.36,78.277,76.114,75.094,75.586,74.388,76.476,73.745,73.968,73.435,68.547,68.818,69.287,70.426,68.383,67.269,66.776,67.322,57.906,67.502,66.874,65.845,67.86,67.103,68.399,66.137,68.801,69.412,66.118,66.365,65.791,64.931,66.06,64.382
878,B,True,41.531,41.153,40.74,41.17,40.916,40.994,40.743,40.546,40.685,40.995,40.998,41.473,42.061,42.182,42.163,42.023,42.441,43.517,43.573,44.508,45.163,45.299,46.074,46.269,47.132,47.999,48.008,48.973,47.943,48.269,47.056,47.672,47.403,46.012,44.917,44.597,44.091,43.639,43.58,44.009,43.529,43.491,43.306,43.688,42.77,42.626,43.083,43.757,44.033,44.108,45.175,45.732,46.181,46.26,47.087,47.584,48.143,48.027,49.088,48.576
879,B,True,59.852,59.097,60.423,57.662,57.247,57.613,57.126,57.278,58.782,59.874,57.086,58.116,58.682,57.656,57.542,57.941,56.95,57.431,57.341,58.546,57.486,58.42,59.731,58.624,58.429,57.068,56.763,55.645,57.346,56.603,56.763,56.764,57.061,56.787,57.486,57.624,56.949,57.981,57.862,57.949,59.036,58.345,57.48,57.307,56.273,55.44,54.813,53.263,52.551,52.132,51.681,52.481,52.295,52.176,51.497,51.633,52.159,52.842,53.256,53.175
880,B,False,41.004,40.752,40.509,40.431,40.889,41.411,42.608,42.893,43.264,43.592,44.364,44.388,44.601,44.161,43.707,43.448,43.019,42.031,41.282,40.779,40.054,39.959,39.428,39.585,39.116,39.378,39.693,39.654,39.668,40.108,40.469,41.571,41.214,41.732,41.769,42.06,42.572,42.826,42.698,42.949,43.511,43.389,43.18,42.576,42.252,42.164,42.384,42.775,43.231,43.696,42.881,43.648,43.302,43.647,43.465,43.7,44.064,44.328,44.844,45.412
881,B,False,41.444,39.644,41.646,41.286,41.983,42.648,41.645,42.221,44.203,43.929,44.231,43.221,45.037,43.278,42.459,44.149,43.32,42.829,42.194,42.452,42.591,43.447,43.414,43.524,43.945,45.071,44.51,44.488,44.339,43.222,41.956,40.987,41.944,42.243,41.998,42.341,42.58,43.02,42.93,43.004,44.559,44.342,43.843,44.728,43.963,43.694,44.777,43.904,43.471,43.596,44.263,43.777,42.544,43.615,43.564,44.878,44.335,44.754,44.434,45.67
