,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30,MEANSHR_31,MEANSHR_32,MEANSHR_33,MEANSHR_34,MEANSHR_35,MEANSHR_36,MEANSHR_37,MEANSHR_38,MEANSHR_39,MEANSHR_40,MEANSHR_41,MEANSHR_42,MEANSHR_43,MEANSHR_44,MEANSHR_45,MEANSHR_46,MEANSHR_47,MEANSHR_48,MEANSHR_49,MEANSHR_50,MEANSHR_51,MEANSHR_52,MEANSHR_53,MEANSHR_54,MEANSHR_55,MEANSHR_56,MEANSHR_57,MEANSHR_58,MEANSHR_59,MEANSHR_60,MEANSHR_61,MEANSHR_62,MEANSHR_63,MEANSHR_64,MEANSHR_65,MEANSHR_66,MEANSHR_67,MEANSHR_68,MEANSHR_69,MEANSHR_70,MEANSHR_71,MEANSHR_72,MEANSHR_73,MEANSHR_74,MEANSHR_75,MEANSHR_76,MEANSHR_77,MEANSHR_78,MEANSHR_79,MEANSHR_80,MEANSHR_81,MEANSHR_82,MEANSHR_83,MEANSHR_84,MEANSHR_85,MEANSHR_86,MEANSHR_87,MEANSHR_88,MEANSHR_89,MEANSHR_90,MEANSHR_91,MEANSHR_92,MEANSHR_93,MEANSHR_94,MEANSHR_95,MEANSHR_96,MEANSHR_97,MEANSHR_98,MEANSHR_99,MEANSHR_100,MEANSHR_101,MEANSHR_102,MEANSHR_103,MEANSHR_104,MEANSHR_105,MEANSHR_106,MEANSHR_107,MEANSHR_108,MEANSHR_109,MEANSHR_110,MEANSHR_111,MEANSHR_112,MEANSHR_113,MEANSHR_114,MEANSHR_115,MEANSHR_116,MEANSHR_117,MEANSHR_118,MEANSHR_119
2171,N,False,21.352,21.46,21.086,21.32,21.123,21.504,21.314,20.791,21.487,21.212,21.411,21.147,21.546,21.239,20.98,20.919,20.767,20.629,20.991,21.17,21.916,21.239,20.889,20.892,20.93,20.458,20.447,20.463,20.253,20.81,20.491,20.653,20.823,21.614,21.678,21.414,20.872,21.128,21.165,21.374,21.816,21.783,21.884,21.785,21.697,21.244,21.09,21.192,21.17,21.11,21.256,21.231,20.971,20.597,20.83,21.02,20.83,21.111,20.856,20.847,21.085,21.239,21.306,21.348,21.291,21.601,21.642,21.818,21.897,22.012,22.282,21.987,21.572,21.628,21.959,22.169,22.331,22.848,22.653,22.872,22.97,22.343,22.595,22.341,22.431,22.316,22.346,22.861,22.88,22.967,23.137,23.049,23.171,23.436,23.462,23.385,23.31,23.375,23.281,23.722,24.022,23.685,23.851,23.585,23.694,23.92,24.114,24.262,23.786,23.893,24.014,24.287,24.164,24.03,23.606,23.761,23.672,23.59,23.457
2172,N,False,36.706,36.546,36.249,36.209,36.297,36.278,36.015,36.092,36.079,35.798,36.282,36.581,36.449,36.382,36.409,36.155,36.011,35.796,35.635,35.597,35.835,35.54,35.823,35.583,35.455,35.538,35.55,35.651,35.577,35.386,35.564,35.223,35.227,34.89,35.227,34.661,34.846,34.953,34.642,34.694,35.021,34.87,34.9,34.77,34.876,34.962,34.773,34.616,34.449,34.049,33.879,33.974,33.722,33.666,33.693,33.886,33.711,33.919,34.18,33.959,34.074,34.244,34.533,34.601,34.298,33.982,34.23,34.318,34.607,34.217,34.443,34.141,33.932,33.712,33.854,33.669,33.616,33.601,33.478,33.296,32.707,33.11,33.233,33.218,32.629,32.848,32.835,32.7,32.741,32.729,33.038,33.185,33.41,33.123,33.599,33.274,33.654,33.562,33.482,33.314,33.229,32.928,32.472,32.848,32.315,32.119,32.129,32.031,31.827,31.816,31.854,31.935,31.959,31.909,31.596,31.748,31.951,32.052,31.911
2173,N,False,24.111,23.149,23.182,22.561,21.911,22.717,22.939,22.226,22.769,23.037,23.365,23.141,24.612,23.584,22.547,25.761,28.366,26.563,25.123,24.425,31.45,33.11,32.377,31.829,29.525,28.159,27.668,27.954,28.638,29.191,28.4,28.364,28.423,27.026,25.745,25.307,23.895,25.198,24.428,24.788,24.375,22.793,21.699,22.133,21.47,21.444,23.813,22.701,22.202,23.633,23.928,23.808,22.056,22.306,21.806,22.026,22.189,22.498,22.025,21.974,22.277,22.085,21.738,22.387,21.986,22.264,21.301,21.48,21.246,20.517,20.974,21.981,22.865,23.884,23.176,22.388,22.89,22.334,22.371,22.28,21.996,21.566,21.963,22.327,22.243,21.01,21.523,21.193,21.505,21.117,21.604,22.845,22.168,22.888,22.735,23.438,22.415,23.732,23.625,22.463,23.27,23.035,22.915,23.058,22.504,23.075,23.226,22.41,21.906,21.147,20.708,21.631,22.956,22.192,23.292,22.421,22.684,23.228,22.517
2174,N,False,25.102,25.651,26.023999999999997,26.397,26.707,26.329,26.427,26.06,26.837,26.357,26.424,25.653,25.896,25.298,25.73,25.872,25.932,25.913,25.805,25.512,24.874,25.652,25.448,25.856,25.799,26.542,25.672,25.224,25.73,25.031,25.224,24.409,23.816,23.542,22.997,22.743,21.834,22.554,21.988,21.98,22.571,22.34,21.702,21.46,21.324,22.469,21.668,21.724,19.954,20.616,20.949,21.99,21.775,20.578,20.364,19.989,19.901,19.692,20.167,20.151,20.382,19.849,19.89,20.404,20.333,20.36,19.908,20.078,20.622,20.182,20.592,20.685,20.72,20.953,21.112,21.451,20.801,21.449,20.342,20.616,20.073,20.379,20.254,20.36,20.351,18.665,18.873,18.837,18.893,18.761,19.03,18.841,19.393,18.804,18.985,18.994,18.568,18.967,18.589,18.72,18.091,17.89,17.794,17.73,18.406,18.37953333333333,18.353066666666667,18.3266,18.30013333333333,18.273666666666667,18.2472,18.22073333333333,18.194266666666667,18.1678,18.141333333333332,18.114866666666668,18.0884,18.061933333333332,18.035466666666668
2175,N,False,26.427,26.06,26.837,26.357,26.424,25.653,25.896,25.298,25.73,25.872,25.932,25.913,25.805,25.512,24.874,25.652,25.448,25.856,25.799,26.542,25.672,25.224,25.73,25.031,25.224,24.409,23.816,23.542,22.997,22.743,21.834,22.554,21.988,21.98,22.571,22.34,21.702,21.46,21.324,22.469,21.668,21.724,19.954,20.616,20.949,21.99,21.775,20.578,20.364,19.989,19.901,19.692,20.167,20.151,20.382,19.849,19.89,20.404,20.333,20.36,19.908,20.078,20.622,20.182,20.592,20.685,20.72,20.953,21.112,21.451,20.801,21.449,20.342,20.616,20.073,20.379,20.254,20.36,20.351,18.665,18.873,18.837,18.893,18.761,19.03,18.841,19.393,18.804,18.985,18.994,18.568,18.967,18.589,18.72,18.091,17.89,17.794,17.73,18.406,18.37953333333333,18.353066666666667,18.3266,18.30013333333333,18.273666666666667,18.2472,18.22073333333333,18.194266666666667,18.1678,18.141333333333332,18.114866666666668,18.0884,18.061933333333332,18.035466666666668,18.009,18.453,19.297,18.6845,18.072,18.287
2176,N,False,23.344,24.142,22.546,23.862,24.156,23.164,23.14,23.996,24.243,24.865,25.337,28.802,34.553,35.712,30.656,29.664,33.604,35.332,36.555,33.958,30.842,27.228,29.749,27.506,28.207,27.461,27.779,28.368,28.138,27.557,27.363,27.425,29.653,27.62,28.963,27.931,29.505,29.442,27.095,29.542,29.825,27.344,27.716,27.113,26.737,27.712,27.294,26.154,26.15346153846154,26.152923076923077,26.152384615384616,26.151846153846154,26.151307692307693,26.15076923076923,26.150230769230767,26.149692307692305,26.149153846153844,26.148615384615383,26.14807692307692,26.14753846153846,26.147,26.115499999999997,26.084,27.524,27.381,26.4455,25.51,25.686,25.871,25.142,25.441,24.775,24.862,25.353,25.279,26.043,25.484,25.15,25.342,25.058,24.786,24.87,24.912,24.653,24.946,24.119,24.382,24.705,24.152,24.349,24.479,24.156,23.462,23.199,23.738,23.677,23.615,23.423,22.755,24.08,23.644,24.108,24.064,24.493,24.381,24.703,24.338,24.218,23.943,23.944,23.628,26.296,29.281,29.458,30.561,28.254,30.024,32.298,31.843
2177,N,False,37.36,37.42,36.659,36.567,35.898,36.973,35.533,34.863,33.842,34.939,34.008,33.258,33.378,33.398,34.085,34.119,35.088,34.506,33.521,33.082,32.712,31.695,31.016,32.127,32.016,31.832,33.629,32.599,33.632,31.778,32.154,30.525,30.329,29.449,30.604,31.127,31.388,31.522,32.345,31.664,32.262,31.831,32.291,31.289,31.144,30.676,30.774,30.623,30.828,30.853363636363635,30.87872727272727,30.904090909090908,30.929454545454544,30.95481818181818,30.98018181818182,31.005545454545455,31.03090909090909,31.056272727272727,31.081636363636363,31.107,30.504,31.124000000000002,31.744,30.721,31.1,31.427,30.746,30.447,30.114,30.604,30.572,29.019,29.607,29.685,29.419,29.379,29.262,30.084,29.191,27.477,27.599,27.167,27.277,27.407,26.166,27.087,25.639,25.579,26.096,25.447,27.009,26.656,25.294,25.14,24.861,23.984,24.713,24.733,25.634,25.93,23.992,24.632,24.72,24.788,26.407,27.127,26.115,26.465,25.532,26.835,26.178,28.042,27.141,26.689,25.999,26.02,25.604,25.33,25.566
2178,N,False,28.035,28.1,28.598,28.98,27.351,27.576,27.687,27.095,26.732,26.226,27.303,26.832,26.968,25.795,25.784,26.052,25.466,26.368,25.724,26.504,26.07,26.588,26.324,26.385,26.677,27.142,26.21,25.697,25.808,25.582,26.343,26.896,26.203,25.08,26.059,26.733,27.727,27.446,27.474,28.308,28.666,28.485,27.959,27.648,27.051,26.509,26.92,26.427,25.955,25.969,26.381,25.893,26.168,26.548,26.524,25.919,26.973,27.287,26.038,27.07,28.045,27.826,27.197,26.115,27.219,27.697,27.254,27.616,27.789,27.644,28.281,27.036,27.539,27.286,26.91,27.417,26.371,25.642,25.784,25.659,25.345,26.073,25.587,25.736,24.871,26.318,25.589,25.859,25.876,25.152,25.297,25.593,25.033,25.628,25.446,25.702,25.36,25.311,24.081,24.555,23.628,25.134,24.346,24.007,24.454,24.56,24.914,25.126,25.365,26.011,24.774,25.533,24.84,25.071,24.189,24.322,24.398,24.017,23.59
2179,N,False,22.498,22.402,22.339,21.926,22.14,21.736,21.791,21.785,21.577,21.49,21.384,21.797,21.435,21.163,21.582,21.39,21.175,21.001,20.961,21.051,20.682,20.689,20.661,20.211,20.608,20.83,20.12,20.508,20.034,20.267,19.948,19.863,19.877,19.599,19.42,19.694,19.777,19.542,19.671,19.5,19.312,20.175,19.958,20.304,20.375,20.296,20.68,20.478,20.375,20.366,20.146,19.725,19.995,19.571,19.632,19.368,19.454,19.298,19.274,19.394,19.809,19.932,20.128,20.388,20.145,20.534,19.761,19.703,19.338,19.228,18.842,18.461,18.474,18.526,17.992,18.001,17.825,17.835,17.814,18.177,18.031,18.197,18.156,17.904,17.876,18.032,17.589,17.921,17.928,17.847,17.976,17.774,17.557,17.293,17.099,17.133,17.006,16.599,16.951,16.408,16.956,17.155,17.313,17.124,17.178,17.232,17.528,17.732,18.272,17.787,17.42,16.956,16.674,16.316,15.993,15.945,15.578,15.629,15.081
2180,N,False,27.971,27.636,28.805,28.083,27.844,28.12,28.104,27.704,27.959,28.142,28.134,27.889,28.177,28.201,28.412,28.078,28.027,27.952,28.16,27.968,28.431,28.424,28.639,28.822,28.489,29.627,28.978,28.885,29.458,29.524,29.736,29.856,30.662,30.23,30.003,29.55,28.852,28.564,28.955,29.345,29.193,29.638,30.163,29.525,29.93,29.834,30.104,29.619,30.0,30.993,30.308,29.941,31.196,31.148,31.078,31.888,31.88,31.754,31.056,31.878,31.161,31.707,32.761,32.746,31.683,32.768,33.173,33.08,32.518,32.457,32.474,32.74,32.491,34.035,34.604,33.449,35.211,34.153,34.871,34.056,34.88,35.081,35.649,35.027,35.834,34.686,36.25,36.588,35.733,36.2,36.132,36.122,37.672,39.275,37.197,38.406,37.438,38.207,38.456,39.188,38.369,40.789,39.919,39.561,39.691,38.44,40.865,39.822,38.77,39.791,34.742,39.265,39.27,39.751,35.149,34.326,28.638,25.447,33.81
2181,N,False,23.65,23.86,23.809,23.847,23.744,23.424,23.638,23.76,23.701,23.794,23.584,23.633,23.927,23.83,23.514,23.621,23.497,23.466,23.408,23.217,23.408,23.389,23.469,23.279,23.444,23.209,23.359,23.148,23.157,23.027,22.819,22.641,22.851,22.785,22.847,23.361,23.202,23.68,23.934,23.856,23.714,23.725,23.521,23.303,23.596,23.142,23.342,23.184,23.176,23.574,23.226,23.452,23.738,23.491,23.336,23.322,23.033,23.24,23.28,23.383,23.449,23.249,22.927,23.164,23.046,23.088,22.874,22.797,22.78,22.982,23.279,23.228,23.02,23.032,22.98,23.28,23.292,23.238,23.231,23.214,23.726,23.505,23.329,23.326,23.301,23.611,23.35,23.153,23.088,23.101,22.888,22.877,22.77,22.691,22.953,22.979,22.851,22.732,22.864,22.827,22.951,23.167,22.901,23.495,23.58,23.204,22.731,22.737,22.833,23.061,22.794,22.668,22.565,22.841,22.764,22.681,22.192,22.446,22.736
