TSS_mean,TSS_std,SSW_mean,SSW_std,kernel,C,gamma,degree,coef0,tol,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1e-05,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.0001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.0001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.0001,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.001,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.01,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.01,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.01,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.1,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.1,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.1,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,10,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,10,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,10,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1e-05,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1e-05,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1e-05,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.0001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.0001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.0001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.01,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.01,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.01,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.1,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.1,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,0.1,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,1,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,10,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,10,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.0001,10,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1e-05,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.0001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.001,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.01,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,0.1,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,1,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,-1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,0,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.001,10,3,1,0.001,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.001,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,-1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.01,3,1,1e-05,
0.4258614014711576,0.03321179679847387,0.4258614014711576,0.03321179679847387,sigmoid,0.01,0.1,3,-1,1e-05,
0.017034456058846303,0.03165034018476127,0.017034456058846303,0.03165034018476127,sigmoid,0.01,0.1,3,0,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.1,3,1,1e-05,
0.34079558652729386,0.10728531034019886,0.34079558652729386,0.10728531034019886,sigmoid,0.01,1,3,-1,1e-05,
0.16156600851722805,0.06326883374956757,0.16156600851722805,0.06326883374956757,sigmoid,0.01,1,3,0,1e-05,
0.07945218737901664,0.056336150604147026,0.07945218737901664,0.056336150604147026,sigmoid,0.01,1,3,1,1e-05,
0.11065621370499419,0.05529379272763938,0.11065621370499419,0.05529379272763938,sigmoid,0.01,10,3,-1,1e-05,
0.09921602787456443,0.05371050371115554,0.09921602787456443,0.05371050371115554,sigmoid,0.01,10,3,0,1e-05,
0.07965543941153695,0.056101939249898064,0.07965543941153695,0.056101939249898064,sigmoid,0.01,10,3,1,1e-05,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,1e-05,3,1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,-1,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,0,0.0001,
0.0,0.0,0.0,0.0,sigmoid,0.01,0.0001,3,1,0.0001,
