,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5,MEANGBT_6,MEANGBT_7,MEANGBT_8,MEANGBT_9,MEANGBT_10,MEANGBT_11,MEANGBT_12,MEANGBT_13,MEANGBT_14,MEANGBT_15,MEANGBT_16,MEANGBT_17,MEANGBT_18,MEANGBT_19,MEANGBT_20,MEANGBT_21,MEANGBT_22,MEANGBT_23,MEANGBT_24,MEANGBT_25,MEANGBT_26,MEANGBT_27,MEANGBT_28,MEANGBT_29,MEANGBT_30,MEANGBT_31,MEANGBT_32,MEANGBT_33,MEANGBT_34,MEANGBT_35,MEANGBT_36,MEANGBT_37,MEANGBT_38,MEANGBT_39,MEANGBT_40,MEANGBT_41,MEANGBT_42,MEANGBT_43,MEANGBT_44,MEANGBT_45,MEANGBT_46,MEANGBT_47,MEANGBT_48,MEANGBT_49,MEANGBT_50,MEANGBT_51,MEANGBT_52,MEANGBT_53,MEANGBT_54,MEANGBT_55,MEANGBT_56,MEANGBT_57,MEANGBT_58,MEANGBT_59,MEANGBT_60,MEANGBT_61,MEANGBT_62,MEANGBT_63,MEANGBT_64,MEANGBT_65,MEANGBT_66,MEANGBT_67,MEANGBT_68,MEANGBT_69,MEANGBT_70
809,B,True,148.07,148.52,148.83,145.6,144.27,140.6,136.99,131.99,131.42,130.49,130.31,129.08,130.4,131.14,132.58,133.95,136.34,137.25,138.33,138.45,138.93,139.47,141.0,142.0,143.66,142.38,142.93,144.1,146.14,146.68,145.04,143.4,146.53,148.12,147.71,147.91,146.87,147.77,146.53,145.83,148.54,145.56,144.21,144.64,142.28,143.34,146.88,146.0,144.93,142.97,142.2,140.41,141.1,139.91,140.47,141.34,139.43,137.87,138.8,136.91,136.17,138.81,138.85,139.92,140.89,143.42,148.61,148.58,151.02,154.16
810,B,False,132.09,132.97,133.99,132.39,128.86,130.04,128.11,127.45,125.69,122.32,123.4,122.42,121.88,122.14,121.62,120.7,123.31,123.51,126.89,130.26,133.62,135.98,137.13,136.15,135.67,135.71,134.35,135.28,134.8,132.07,131.24,128.71,126.71,125.53,125.84,124.02,122.53,122.5,121.96,119.55,117.73,116.98,116.83,117.09,118.78,121.28,120.55,120.94,121.07,120.35,121.59,122.45,124.0,124.34,123.77,122.24,123.13,123.28,122.08,124.99,126.15,127.18,128.61,129.31,129.28,128.27,129.18,128.82,128.67,127.58
811,B,False,56.281,56.319,56.4,56.203,56.488,57.215,57.347,56.99,57.251,57.058,57.509,58.439,58.433,58.526,59.647,59.275,59.074,59.35,59.302,60.175,60.382,61.052,61.902,61.744,62.154,62.769,63.301,64.209,64.221,63.667,63.341,63.497,63.514,63.155,62.844,62.771,62.574,62.107,61.662,61.905,61.219,61.254,61.333,61.416,61.08,61.128,61.88,62.593,63.144,63.636,63.444,63.806,63.42,64.756,64.522,64.604,64.051,64.279,63.815,64.592,64.341,63.524,63.068,63.343,63.597,63.945,64.561,64.277,64.7,65.088
812,B,False,109.96,109.65,110.33,111.57,110.79,110.13,110.15,110.74,110.18,109.19,108.55,106.21,105.36,105.04,105.23,102.8,103.36,103.14,102.28,101.48,101.78,101.58,103.38,104.37,106.42,108.65,111.75,115.97,119.36,119.37,119.8,121.18,120.51,117.3,115.94,113.18,111.12,110.05,107.3,105.32,104.83,104.29,105.0,104.08,105.73,105.74,106.08,108.49,110.43,108.26,109.15,109.0,111.22,110.5,111.58,110.87,109.69,111.69,112.4,111.94,113.03,111.18,108.64,109.11,108.26,108.14,107.75,107.29,108.93,108.08
813,B,True,115.73,117.95,120.02,120.6,121.34,121.15,121.6,122.19,122.35,121.92,120.01,118.02,117.8,115.7,114.32,112.1,110.54,111.11,111.27,110.52,110.86,112.14,111.2,112.94,112.33,114.37,116.34,117.1,117.76,117.19,118.23,118.55,118.41,120.56,123.17,122.24,121.66,122.81,123.6,122.2,121.33,121.05,122.05,123.09,123.77,122.77,123.19,122.25,122.47,122.17,119.05,118.22,117.53,119.42,119.09,115.91,114.62,115.47,113.6,114.25,114.34,116.32,114.65,117.05,117.95,120.13,121.54,122.61,123.58,125.98
814,B,True,120.39,122.32,123.08,121.65,121.7,121.24,123.84,125.41,122.91,124.06,125.67,126.85,128.94,131.78,132.46,131.4,131.9,131.08,127.96,128.95,125.32,126.86,128.25,129.75,125.07,124.78,123.79,123.34,124.51,125.87,128.62,127.18,126.75,125.6,123.2,123.2,125.2,125.33,127.62,126.45,125.94,127.54,129.83,129.15,130.12,130.7,130.68,133.45,132.97,135.17,134.74,135.36,133.8,134.6,134.87,136.11,134.18,131.73,129.33,126.4,126.08,124.79,124.05,123.47,123.86,122.76,122.95,121.07,122.35,121.78
815,B,False,112.2,111.73,114.07,116.52,116.96,117.12,118.53,120.08,120.93,119.01,118.28,117.49,119.19,121.52,121.11,122.47,122.28,120.31,119.66,118.75,117.88,118.06,117.94,117.35,116.42,116.16,116.49,115.42,113.07,113.06,113.94,112.82,112.19,111.68,111.06,110.54,111.08,111.72,112.24,113.15,113.99,115.87,117.5,121.12,123.81,126.7,129.36,128.4,126.76,127.7,127.74,128.02,128.06,127.19,124.84,124.26,121.71,120.94,118.84,119.7,117.82,114.7,115.79,115.62,115.13,115.23,113.52,113.81,115.63,114.45
816,B,True,122.56,121.63,121.61,122.89,122.01,121.62,121.26,119.91,119.04,118.7,117.85,116.46,116.65,115.92,116.48,115.29,113.31,114.58,115.28,116.56,116.72,120.04,124.26,126.02,129.82,132.85,136.47,136.19,136.59,138.16,136.86,136.35,133.98,131.26,131.7,130.14,126.67,125.15,123.95,121.36,121.18,120.03,119.25,118.86,118.03,116.79,115.34,115.06,115.21,116.09,116.76,114.79,113.9,114.72,116.91,117.03,117.09,117.38,118.36,119.74,118.1,118.4,117.83,120.26,122.87,125.24,128.58,129.63,130.81,130.54
817,B,True,57.482,58.618,54.631,58.207,59.089,56.583,56.105,55.908,55.417,54.974,53.992,55.271,55.094,55.656,55.393,54.393,55.009,53.976,55.028,56.731,56.765,56.735,57.147,58.058,57.424,57.499,56.427,56.544,55.523,56.81,56.921,58.053,58.53,58.848,60.155,60.056,62.076,60.2,61.416,60.331,59.293,60.219,60.13,59.832,61.346,60.199,60.533,62.783,61.503,62.368,62.094,62.969,62.317,61.966,62.729,65.298,66.019,65.071,65.446,64.317,65.015,63.867,63.047,63.385,62.555,62.96,63.507,62.115,62.483,62.575
818,B,True,104.01,103.37,103.54,104.51,105.21,105.83,107.62,106.17,108.2,109.6,111.44,111.31,111.77,110.17,109.64,111.33,109.66,110.31,109.62,109.8,106.33,105.31,104.93,105.08,107.92,106.06,105.27,108.43,108.03,108.86,105.69,108.35,107.28,107.66,107.59,109.33,109.93,110.45,110.22,113.74,111.86,110.11,110.56,109.28,110.54,109.24,112.19,108.84,107.44,102.44,101.56,99.061,98.444,97.936,97.288,99.824,95.704,95.735,98.875,100.6,101.47,102.77,105.58,105.41,106.65,111.2,112.03,116.22,114.5,113.45
