,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70
11,X,False,2338.0,2334.4,2333.7,2322.2,2331.7,2330.6,2329.5,2330.5,2341.4,2348.8,2335.4,2346.9,2346.0,2338.5,2340.2,2343.1,2347.2,2352.6,2358.1,2360.8,2362.2,2372.1,2366.0,2375.1,2386.3,2398.9,2390.3,2399.9,2406.1,2402.7,2399.1,2406.5,2412.2,2408.8,2412.8,2417.9,2417.6,2413.8,2417.0,2419.0,2407.2,2412.8,2430.0,2434.0,2450.3,2450.2,2448.0,2444.3,2454.5,2460.0,2477.0,2474.8,2473.3,2476.0,2477.8,2481.4,2484.8,2490.1,2502.0,2496.3,2495.5,2501.8,2494.3,2503.9,2505.1,2503.5,2485.5,2479.9,2479.0,2479.7
12,X,False,2366.6,2373.5,2376.2,2379.1,2375.3,2382.6,2373.1,2373.9,2378.5,2375.9,2389.5,2388.3,2385.5,2389.6,2381.6,2375.8,2363.5,2353.1,2347.5,2350.1,2353.0,2358.8,2370.5,2360.4,2356.5,2366.1,2355.0,2360.7,2366.9,2369.9,2366.1,2375.7,2372.8,2373.7,2371.6,2366.2,2370.0,2373.1,2364.5,2361.0,2369.4,2359.8,2357.6,2360.2,2363.4,2360.7,2369.6,2369.0,2365.1,2366.2,2358.2,2353.5,2344.7,2338.2,2340.1,2343.2,2338.0,2340.8,2334.1,2343.3,2341.7,2348.7,2346.5,2351.6,2364.4,2364.6,2365.3,2372.7,2363.1,2359.7
13,X,False,2177.5,2171.4,2176.2,2170.5,2169.6,2172.4,2156.9,2162.0,2163.1,2160.8,2153.3,2150.3,2154.7,2143.4,2143.0,2140.7,2143.7,2146.5,2143.1,2145.8,2142.2,2147.3,2148.6,2154.4,2158.4,2159.9,2168.1,2165.6,2168.9,2173.7,2166.3,2168.3,2166.8,2166.0,2174.4,2170.9,2163.7,2161.7,2154.1,2163.2,2162.3,2156.2,2164.2,2163.9,2160.3,2166.7,2172.8,2179.6,2180.1,2179.4,2173.8,2173.6,2173.7,2179.7,2172.8,2168.8,2164.1,2158.1,2163.7,2174.2,2176.3,2176.2,2166.2,2164.5,2175.6,2175.9,2167.9,2169.6,2180.3,2181.5
14,X,False,1513.6,1504.7,1490.5,1504.4,1515.5,1520.5,1513.4,1515.6,1522.4,1530.7,1526.7,1540.3,1543.5,1549.3,1563.5,1558.1,1565.0,1559.2,1558.0,1558.8,1552.3,1563.1,1571.9,1572.6,1574.7,1572.9,1570.8,1578.8,1574.5,1567.7,1576.1,1573.5,1573.6,1561.3,1574.2,1574.8,1574.1,1571.5,1570.5,1572.6,1579.9,1577.5,1567.2,1575.0,1565.6,1563.6,1579.1,1576.9,1568.3,1580.4,1572.3,1569.7,1572.5,1565.4,1560.0,1571.8,1560.5,1573.5,1584.0,1581.6,1569.5,1569.6,1563.3,1567.2,1551.0,1561.0,1565.5,1561.0,1546.6,1547.4
15,X,False,4538.5,4545.5,4556.8,4566.7,4556.3,4563.3,4552.4,4542.2,4552.1,4541.3,4540.3,4534.5,4523.9,4524.5,4515.7,4516.9,4516.9,4500.1,4495.9,4482.1,4479.4,4484.0,4480.1,4474.5,4470.5,4483.4,4476.6,4468.8,4470.3,4464.1,4455.4,4448.3,4439.2,4443.2,4436.2,4427.0,4430.4,4417.0,4409.2,4404.0,4399.9,4387.4,4390.8,4379.3,4388.4,4385.2,4375.5,4381.5,4380.9,4385.5,4384.4,4395.9,4389.7,4381.7,4405.7,4401.2,4408.2,4415.4,4409.0,4418.2,4416.7,4421.7,4430.8,4428.8,4429.2,4432.5,4434.8,4443.7,4436.8,4451.7
16,X,False,89.82,89.58,103.24,108.87,112.23,116.21,127.03,146.89,148.47,172.25,184.82,196.32,216.42,228.94,239.73,252.28,282.13,307.06,326.39,344.07,348.02,361.11,382.23,384.62,380.45,394.01,409.24,418.47,444.26,458.87,471.05,479.85,497.49,512.56,525.44,544.05,572.38,586.52,621.19,616.18,644.91,669.42,686.44,711.68,724.44,750.33,769.17,778.79,797.74,807.24,833.2,846.58,860.03,870.19,899.0,906.0,906.5,910.79,914.66,902.19,899.21,903.41,900.92,904.06,907.81,894.83,890.77,891.51,896.75,901.01
17,X,False,1443.5,1410.5,1388.7,1368.6,1357.7,1313.1,1307.9,1268.6,1256.4,1215.1,1170.7,1166.5,1113.7,1130.9,1086.4,1103.8,1100.7,1081.7,1093.2,1098.1,1100.4,1098.3,1108.4,1096.8,1089.4,1075.1,1062.1,1030.7,1010.2,996.84,982.08,958.56,949.98,905.96,888.48,874.37,857.64,826.66,814.77,814.38,790.7,781.7,776.47,769.46,748.95,738.1,745.15,733.98,717.32,695.55,701.8,694.12,676.83,657.22,664.41,650.46,655.65,644.44,646.69,642.37,633.95,632.16,624.69,621.7,615.51,616.87,619.66,621.74,627.05,631.89
18,X,False,408.5,402.58,400.8,386.99,383.22,380.21,385.79,391.58,388.11,369.87,361.2,367.25,366.53,367.46,355.51,353.36,349.65,342.75,341.31,359.18,396.04,412.35,416.95,410.14,413.26,416.31,416.9,421.01,422.56,416.84,417.1,425.54,423.36,426.99,423.73,429.59,433.69,430.43,432.22,431.41,439.9,435.07,426.86,425.92,426.72,426.95,423.75,420.52,410.21,412.62,414.78,410.79,416.93,420.59,416.15,416.86,410.31,408.11,414.42,411.87,411.67,413.74,414.77,413.32,404.78,409.03,414.94,413.39,421.1,421.42
19,X,False,3656.5,3642.1,3649.7,3652.5,3648.5,3618.7,3639.0,3642.6,3627.4,3663.8,3640.4,3615.8,3609.5,3624.0,3618.7,3608.7,3623.0,3613.4,3611.3,3631.1,3633.5,3616.5,3612.6,3642.9,3627.1,3659.8,3638.7,3629.8,3633.9,3628.6,3629.5,3639.2,3661.3,3644.2,3665.3,3674.2,3659.3,3661.7,3660.1,3673.1,3663.6,3663.0,3658.6,3664.6,3658.9,3663.1,3670.1,3661.8,3683.5,3672.3,3689.0,3711.5,3733.4,3740.3,3732.4,3720.7,3709.3,3735.3,3736.1,3741.3,3757.9,3769.0,3783.3,3799.9,3811.7,3824.0,3818.1,3821.3,3843.6,3842.9
20,X,True,6808.2,6833.4,6837.2,6823.0,6802.2,6818.7,6800.4,6793.5,6787.0,6775.5,6772.6,6789.2,6801.7,6794.2,6768.0,6758.4,6765.0,6773.3,6758.6,6760.9,6773.3,6753.9,6758.1,6742.8,6748.4,6746.3,6752.1,6728.1,6721.8,6707.1,6690.4,6681.2,6672.8,6667.8,6640.0,6623.3,6614.1,6595.2,6552.6,6547.9,6534.7,6547.8,6552.7,6527.6,6507.2,6504.5,6496.0,6504.5,6504.5,6470.4,6461.8,6458.3,6442.9,6436.7,6448.2,6440.6,6459.4,6440.9,6457.5,6480.6,6490.7,6492.6,6490.8,6494.2,6481.7,6486.6,6498.3,6506.3,6525.8,6545.1
21,X,False,1408.9,1417.1,1412.1,1404.9,1410.3,1421.9,1411.1,1405.2,1414.8,1415.7,1421.1,1424.3,1429.1,1420.3,1424.1,1416.4,1413.3,1422.8,1423.1,1410.7,1406.2,1408.0,1408.7,1410.7,1415.0,1421.4,1417.3,1426.7,1423.4,1427.1,1435.7,1427.5,1428.7,1428.2,1419.9,1418.4,1427.8,1425.9,1436.9,1448.1,1443.8,1444.4,1458.8,1456.2,1455.4,1456.7,1462.6,1458.9,1449.6,1451.3,1455.8,1454.1,1464.8,1454.5,1443.4,1452.2,1456.3,1442.5,1440.7,1445.6,1448.2,1446.5,1459.7,1459.8,1457.9,1456.7,1457.3,1466.5,1464.2,1467.1
22,X,True,1213.8,1218.6,1229.8,1233.9,1236.6,1238.1,1235.1,1235.2,1248.2,1250.0,1251.1,1243.8,1245.9,1247.1,1249.6,1241.4,1254.1,1266.9,1259.3,1255.9,1257.8,1259.3,1263.6,1265.5,1274.3,1276.6,1267.3,1260.6,1265.1,1274.2,1269.6,1270.7,1266.4,1263.6,1262.0,1263.0,1262.9,1266.2,1265.8,1252.7,1261.1,1250.6,1252.8,1248.4,1253.6,1255.1,1258.6,1252.3,1264.7,1259.4,1257.3,1266.5,1263.6,1267.3,1268.1,1272.6,1275.2,1278.1,1283.0,1286.0,1291.2,1295.7,1303.4,1308.1,1312.2,1324.3,1330.8,1346.8,1351.5,1352.2
23,X,False,188.9,215.99,242.22,259.14,277.4,306.41,320.53,342.53,365.3,380.2,402.92,428.13,443.41,468.13,494.22,489.24,510.66,515.05,523.27,529.16,544.29,553.35,578.78,598.76,618.84,628.94,652.38,682.47,695.02,728.34,744.48,763.47,788.78,808.97,822.68,824.0,833.66,853.2,875.01,900.67,909.42,926.33,933.78,961.3,979.44,1013.0,1030.8,1017.5,1036.1,1049.7,1064.0,1108.4,1126.1,1128.7,1149.4,1177.8,1204.9,1223.4,1235.0,1261.5,1292.4,1295.4,1318.0,1322.9,1354.1,1381.5,1397.1,1418.2,1443.3,1464.0
24,X,True,1483.2,1492.0,1492.9,1494.1,1500.9,1491.2,1493.9,1495.1,1502.2,1502.3,1507.4,1500.1,1496.6,1499.5,1506.8,1510.1,1509.8,1512.0,1516.2,1523.8,1536.0,1541.4,1540.6,1550.5,1550.6,1554.4,1556.7,1552.5,1556.2,1560.0,1566.5,1566.3,1561.1,1564.8,1560.7,1558.1,1570.0,1574.1,1571.4,1572.4,1573.0,1580.7,1587.5,1580.8,1575.6,1574.5,1568.6,1571.7,1570.7,1568.9,1565.0,1560.7,1562.5,1556.7,1554.4,1552.5,1543.5,1536.7,1536.1,1532.3,1530.2,1535.4,1534.5,1531.2,1535.1,1543.0,1555.7,1554.2,1551.2,1545.7
25,X,True,1506.8,1510.1,1509.8,1512.0,1516.2,1523.8,1536.0,1541.4,1540.6,1550.5,1550.6,1554.4,1556.7,1552.5,1556.2,1560.0,1566.5,1566.3,1561.1,1564.8,1560.7,1558.1,1570.0,1574.1,1571.4,1572.4,1573.0,1580.7,1587.5,1580.8,1575.6,1574.5,1568.6,1571.7,1570.7,1568.9,1565.0,1560.7,1562.5,1556.7,1554.4,1552.5,1543.5,1536.7,1536.1,1532.3,1530.2,1535.4,1534.5,1531.2,1535.1,1543.0,1555.7,1554.2,1551.2,1545.7,1547.6,1544.7,1544.2,1545.2,1546.3,1545.6,1545.1,1547.4,1544.4,1543.1,1541.1,1542.3,1543.5,1542.3
26,X,False,1763.1,1759.3,1756.6,1767.5,1767.5,1776.2,1764.9,1778.9,1772.9,1781.5,1789.1,1782.0,1766.0,1742.9,1732.3,1720.6,1711.2,1701.0,1674.6,1664.6,1645.3,1623.5,1591.1,1558.5,1535.4,1494.2,1480.7,1452.4,1404.5,1374.1,1336.4,1299.3,1287.0,1231.5,1213.3,1202.5,1159.0,1154.0,1130.9,1109.8,1075.8,1046.6,1029.1,996.03,980.7,947.35,927.4,907.55,876.09,876.04,871.73,851.42,829.66,813.35,795.2,776.14,751.4,750.08,728.69,719.37,708.16,677.18,663.93,636.07,599.28,564.6,549.95,535.86,517.65,489.28
27,M,False,164.03,171.01,171.18,169.53,173.93,174.22,175.39,174.06,179.17,177.46,180.69,179.62,180.73,183.35,186.05,186.37,186.77,182.08,180.56,184.63,186.39,185.09,188.04,186.3,192.57,187.92,189.12,191.81,193.17,184.59,185.67,188.96,189.12,190.05,187.69,187.75,191.87,191.67,192.89,194.41,200.6,203.71,208.05,207.79,211.48,212.09,216.84,216.12,219.59,214.51,211.53,212.64,210.53,215.49,213.87,212.66,213.52,220.09,218.7,215.28,222.57,221.45,221.84,229.94,233.9,238.26,238.05,244.66,241.47,247.37
28,M,False,48.476,50.121,51.489,51.712,53.285,60.28,68.363,70.523,79.266,81.741,84.341,85.827,94.964,91.788,86.795,98.236,99.933,98.273,108.97,109.15,118.45,121.33,122.23,121.59,133.86,132.26,132.33,148.48,147.2,151.4,150.79,163.02,171.16,170.23,174.97,180.74,188.84,187.81,187.42,199.9,198.34,212.71,217.47,222.52,227.67,236.38,236.95,243.19,239.98,254.2,249.26,255.77,248.31,263.41,259.08,262.12,268.97,263.73,268.6,270.43,265.17,259.24,259.59,262.55,265.05,260.25,269.89,270.52,268.1,266.98
29,M,False,471.86,473.45,470.63,468.91,471.01,467.64,468.27,466.94,468.47,474.34,468.43,467.53,468.07,468.53,478.99,481.15,482.39,479.01,481.01,475.61,477.75,486.74,480.76,484.55,481.04,476.4,477.21,470.75,473.42,472.32,477.74,482.56,477.63,484.1,483.53,486.3,481.91,486.61,489.66,492.27,493.29,499.28,495.3,499.62,501.78,496.57,498.08,503.31,500.63,498.75,492.32,494.14,491.89,491.43,489.03,495.27,490.88,493.6,495.83,493.77,498.51,503.37,510.85,512.68,509.98,509.42,502.57,497.84,505.14,503.28
30,M,True,63.677,65.126,61.973,61.163,63.613,60.48,61.802,65.313,65.083,63.054,68.145,68.555,67.272,65.431,66.757,66.231,64.895,64.914,60.119,61.7,60.247,60.658,58.396,59.626,60.864,57.584,52.495,51.915,51.58,51.606,51.736,55.006,49.772,45.283,48.291,49.017,48.68,47.069,50.106,53.729,55.288,52.914,51.189,48.319,48.96,49.966,48.903,48.98,51.333,48.487,46.434,47.905,46.274,46.472,73.161,77.625,90.697,101.64,113.42,127.65,145.08,154.03,165.72,175.58,178.01,188.53,193.73,206.3,211.24,214.78
31,M,False,422.14,430.61,428.99,424.92,424.41,420.07,420.92,437.04,430.28,426.21,431.96,435.4,446.71,442.76,442.94,456.54,452.77,461.31,462.45,459.2,469.26,457.07,452.15,453.15,450.06,462.62,459.68,464.5,472.92,464.48,463.3,463.75,471.33,480.82,488.13,487.58,494.47,504.08,504.84,516.63,516.52,512.0,520.33,530.1,526.95,529.58,523.34,524.24,531.17,540.46,541.82,543.0,538.15,547.36,539.82,537.87,534.5,534.78,539.75,545.32,549.6,548.86,555.3,553.22,549.48,544.24,546.89,541.87,538.66,543.7
32,M,False,242.96,240.66,243.66,245.29,250.75,242.25,241.13,242.16,239.23,246.74,268.4,262.21,277.66,282.63,282.99,275.3,271.14,276.15,281.59,271.09,272.69,269.48,271.23,284.96,289.02,291.59,287.46,288.93,298.75,307.99,310.82,320.32,324.51,335.62,337.4,338.67,353.19,361.64,366.49,371.89,373.88,376.61,385.02,388.92,392.53,392.39,403.2,423.94,444.18,446.18,447.85,458.27,473.72,501.99,528.1,532.24,551.95,556.81,573.32,580.76,584.22,584.63,602.96,619.11,616.01,623.83,615.24,620.88,628.47,627.64
33,M,True,301.05,302.57,302.68,309.29,315.17,318.66,321.97,325.36,333.53,341.74,343.77,351.51,355.08,358.79,362.05,363.67,365.64,365.32,372.03,370.62,373.75,384.79,389.55,393.2,394.49,395.85,393.55,398.68,400.5,410.51,411.58,411.05,415.67,418.78,419.77,425.54,432.19,431.08,438.25,441.97,448.23,457.67,463.36,470.03,475.45,482.08,489.31,499.6,507.26,506.31,510.36,516.57,521.91,528.47,530.41,535.9,541.57,546.95,552.84,559.64,566.93,574.87,581.68,592.22,601.28,606.04,611.0,609.67,620.22,631.87
34,M,True,837.61,844.88,848.57,853.25,854.26,856.14,861.7,863.81,871.75,879.8,882.63,885.37,890.22,887.46,885.0,891.58,897.72,900.68,895.21,897.96,899.36,902.84,905.85,905.85,904.78,909.4,913.49,917.11,917.43,918.01,919.36,922.75,922.57,923.63,923.22,925.6,931.93,929.61,928.18,929.41,935.43,937.69,942.44,945.31,946.55,947.42,946.52,952.37,956.45,961.74,962.37,964.36,967.04,972.08,974.66,977.48,987.6,994.94,998.1,1004.8,1008.2,1008.2,1012.6,1014.5,1012.9,1017.4,1017.5,1025.4,1031.0,1033.0
35,M,False,348.72,356.13,351.15,358.8,356.2,360.24,368.74,377.71,389.7,398.77,413.02,418.68,414.26,417.41,426.04,426.71,441.09,434.32,435.69,451.16,454.1,453.46,459.13,460.64,459.0,465.58,465.86,471.04,474.8,463.14,464.19,469.75,470.58,472.63,474.19,473.72,465.15,472.67,481.82,489.21,495.28,501.07,509.44,513.07,517.09,517.77,527.91,532.54,536.82,541.09,550.18,555.27,553.9,560.57,569.32,578.17,579.37,580.73,581.7,582.17,585.12,584.01,580.27,580.41,578.29,588.37,588.93,585.99,586.33,584.0
36,M,False,1096.3,1101.1,1103.3,1101.4,1102.9,1102.7,1098.7,1095.4,1099.1,1102.1,1097.4,1098.1,1101.6,1101.6,1105.0,1103.9,1109.2,1112.6,1114.8,1116.0,1121.4,1126.6,1119.5,1117.2,1115.9,1117.6,1117.6,1115.6,1121.0,1112.4,1116.9,1117.4,1117.7,1109.2,1114.6,1118.1,1116.3,1115.0,1112.2,1102.4,1104.8,1095.4,1094.1,1095.3,1096.9,1089.8,1091.4,1087.1,1084.7,1089.5,1090.0,1088.1,1094.5,1091.6,1085.9,1084.1,1087.7,1081.6,1079.8,1082.9,1082.3,1078.0,1071.0,1071.1,1072.2,1073.2,1076.7,1078.9,1083.6,1092.4
37,M,True,1106.2,1103.5,1105.1,1111.4,1119.1,1122.2,1121.9,1130.1,1124.7,1123.7,1120.8,1117.0,1125.8,1124.8,1124.6,1120.8,1117.8,1119.2,1125.9,1129.7,1130.4,1125.9,1132.2,1131.8,1129.0,1128.0,1127.8,1129.6,1135.2,1135.4,1136.1,1143.9,1143.1,1135.7,1136.7,1145.5,1136.2,1142.3,1139.8,1128.5,1125.1,1121.8,1120.5,1123.6,1119.6,1124.0,1117.5,1120.2,1118.1,1107.6,1107.4,1110.7,1112.1,1115.9,1107.5,1105.1,1119.0,1115.0,1114.2,1110.7,1118.1,1115.8,1109.1,1104.3,1101.2,1105.9,1102.4,1095.8,1096.1,1088.7
